"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","15","251","-6.690758320682707","6.030428880082644","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9277310999999994","3","-0.9340000000000007","5"
"1","95","116","-12.282417697346116","0.6101263469734886","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.674669999999998","2","-1.0249999999999992","6"
"2","105","306","9.983666073486235","-10.645210919158693","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.945896899999964","3","-0.9680000000000007","5"
"3","15","57","-3.397466658495705","-15.10250244675114","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.74282","2","-0.7180000000000005","1"
"4","45","352","8.175327076155737","2.4560032091691673","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.6811","2","-0.9770000000000009","2"
"5","15","50","-6.623442826457442","-15.823635541718836","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.73892","2","-1.1079999999999957","3"
"6","25","296","5.691308899068328","-4.569894285195776","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.1691","2","-1.0239999999999998","7"
"7","15","33","2.1717307383229096","0.5929812779182375","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.2215","2","-0.9530000000000007","4"
"8","15","203","-7.974230544237796","-12.034341710279389","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-1.0769999999999953","2"
"9","105","257","-13.117677117923959","14.852228096544097","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.655149999999999","2","-0.9570000000000008","5"
"10","25","130","10.140006431847684","-0.6044643940802563","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.61115","2","-0.9380000000000008","1"
"11","15","45","9.643945447371962","-4.334596078597619","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","2","-1.0050000000000001","1"
"12","85","71","-2.6955492601132605","-2.869473854026934","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.940456499999963","3","-0.9580000000000007","3"
"13","25","157","-5.006635475923033","14.502535008512837","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.123999999999999","2","-1.0779999999999976","9"
"14","15","6","12.416105984456676","0.1222352181356221","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.6400000000000005","1"
"15","25","10","-8.55516236182137","-13.515623066827139","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.6026899999999997","2","-0.9840000000000008","8"
"16","15","233","-1.951456009770201","-11.955372570328661","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.8920000000000008","1"
"17","85","118","8.378014039414039","10.168033365249013","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.9067161999999644","3","-0.9550000000000007","4"
"18","15","269","-5.116700208508901","-7.192058867845016","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.0723350000000003","1","-1.0739999999999978","6"
"19","15","59","13.231327942017048","11.754740469937031","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.7402","2","-0.9800000000000008","7"
"20","55","280","-3.0403460794121826","11.057242553242546","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.8806287000000097","3","-0.9350000000000007","0"
"21","15","262","-9.984141934018178","4.990167203344345","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.6505300000000005","2","-0.8310000000000006","7"
"22","85","118","15.479972694600018","-5.808439619239231","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.917862199999974","3","-0.8230000000000007","1"
"23","85","211","-4.913551524750511","-3.5372408805619773","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.905829799999961","3","-1.1179999999999946","8"
"24","15","259","10.401409094904881","0.20523971940325408","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.8239074999999998","3","-0.9940000000000008","8"
"25","85","183","-6.54354808245858","-15.152654570787192","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.993262700000017","3","-0.9350000000000007","6"
"26","85","63","-13.197728121251728","-6.751077969059258","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.955514699999987","3","-0.9800000000000006","2"
"27","5","102","-9.200982832485355","-7.394847847354726","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.957709100000129","3","-0.9320000000000007","2"
"28","15","126","-5.0978358656941145","-2.6274507046073756","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.8596599999999996","2","-0.9350000000000008","8"
"29","35","222","-14.543830845886081","-9.753315637299039","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.995100400000034","3","-0.9470000000000007","5"
"30","85","198","15.8578422179319","0.9260100811861279","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.881237399999957","3","-1.0849999999999962","9"
"31","25","170","13.28181104631847","13.852238644803375","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.8522526000000121","3","-0.9300000000000008","3"
"32","15","333","4.460694129763932","-12.266290113126768","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","1","-0.9700000000000009","5"
"33","15","175","-10.250532237488212","-3.6028130304398895","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.3481299999999994","2","-0.7840000000000006","6"
"34","25","343","-12.099283488400484","-12.444214633862991","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.61347","2","-0.9320000000000008","7"
"35","85","26","16.253992157843992","2.05485244688661","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.912865999999969","3","-0.8270000000000006","3"
"36","15","22","-9.121677029596057","12.393098817390891","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5744799999999997","2","-0.9200000000000008","3"
"37","85","282","5.938750582685098","0.5450044459756918","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.864896899999974","3","-1.0479999999999985","6"
"38","105","354","-5.845926108151572","-1.1101202419349396","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.856609999999992","2","-1.1269999999999942","5"
"39","85","305","-1.022499522683193","15.664542352305046","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.860013799999953","3","-0.8060000000000008","3"
"40","85","230","0.9650741518326629","-14.615902993212178","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.012693200000001","3","-0.9710000000000009","6"
