"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","15","64","0.9303358610661387","-6.317243170320413","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.2145899999999992","2","-0.16000000000000045","6"
"1","85","358","12.026122553933773","-9.50262281935326","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.029215400000028","3","-0.11900000000000038","2"
"2","0","9","-7.390629005092816","15.497066696482785","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.017461700000093","3","-0.30600000000000016","2"
"3","85","18","9.559840292138782","9.897146342324863","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.998776599999998","3","-0.21600000000000036","3"
"4","45","269","6.668601421121249","-4.182968212099206","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.9849200000000335","2","-0.2530000000000004","6"
"5","25","209","0.753289974050793","16.10640496147451","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9768547000000096","3","-0.18100000000000022","2"
"6","85","218","3.9834891007850772","-5.723774701569188","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.994659800000016","3","-0.14000000000000043","6"
"7","105","72","14.355014389552803","14.031937810043798","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.401569999999991","2","-0.40800000000000025","5"
"8","15","132","0.8430487310150274","1.4537816941785997","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.2915300000000072","2","-0.24800000000000022","5"
"9","135","242","14.725125808911946","-15.54512713076305","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.00081","2","-0.08100000000000046","7"
"10","115","157","-5.676846465419283","11.468317419457279","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.7892600000000005","2","0.009999999999999749","1"
"11","55","6","-11.696420549385463","9.675876766707711","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.018379999999999","2","-0.056000000000000896","6"
"12","85","103","-0.5296419911163253","12.56799165742832","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.011892600000004","3","-0.4590000000000004","9"
"13","25","118","-5.2758483219365475","-13.82635013018857","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.6961200000000005","2","-0.1760000000000001","5"
"14","15","191","-0.6599603383716106","-1.3412171282492826","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","1","-0.3900000000000004","8"
"15","55","311","-9.35909905319723","8.9281079636992","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.198970000000001","2","-0.3230000000000003","9"
"16","85","193","-12.778265362997894","-14.616518409873422","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.651799999999991","2","-0.10000000000000069","2"
"17","9.9","102","-9.911569564643479","7.865197065027765","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.963719999999991","2","-0.3860000000000004","7"
"18","85","236","-5.707215041849933","-9.51466618802747","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.9855957000000135","3","-0.2000000000000002","5"
"19","85","41","11.19609653585136","-0.6520591080567613","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.05922800000001","3","-0.14700000000000038","0"
"20","0","157","-7.005555182583558","-15.914827796372197","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.95998240000003","3","-0.3150000000000003","8"
"21","9.9","115","1.7149907820522827","-10.329392097641303","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.687479999999997","1","-0.2760000000000003","9"
"22","15","72","5.231697943718258","-13.828984013659046","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.3880000000000005","9"
"23","5","135","-2.451940155277512","11.91284364348155","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.981882300000047","3","0.05499999999999984","5"
"24","115","351","-16.38922570362674","-15.656037087881892","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.897725999999954","3","0.11600000000000002","0"
"25","55","129","-11.740509302837047","-8.756271102891134","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.165800000000002","2","-0.4090000000000006","9"
"26","105","145","-13.940629737815062","-11.970361660732294","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.793070000000018","2","-0.031000000000000427","9"
"27","35","210","-7.339146108023755","-14.544606687469736","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.97437","2","-0.3570000000000006","5"
"28","35","201","14.852351759463362","12.651964089261455","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.997561400000006","3","-0.09500000000000046","8"
"29","85","127","-13.63821313389969","6.330270084808544","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.950199699999982","3","-0.10500000000000112","4"
"30","35","344","2.5346993923483794","9.056888891666098","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.724719999999992","1","-0.11100000000000029","1"
"31","85","85","1.031592161434152","-8.814295887502853","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.971286000000006","3","-0.09600000000000061","8"
"32","85","287","13.02703506663103","-12.053611181664543","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.951399499999995","3","-0.15000000000000024","7"
"33","85","111","-8.570678597325063","0.42404213465623625","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.958740199999992","3","-0.15300000000000016","1"
"34","85","341","-8.650738957551656","-0.9405103672798719","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.423959999999995","2","0.057999999999999774","1"
"35","85","17","2.136435658983994","-7.201393638092167","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.905089999999973","3","-0.5370000000000005","9"
"36","15","152","-10.315359220317754","-8.514753382072493","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9486999999999999","2","-0.3640000000000003","8"
"37","15","202","-7.776877277210486","-0.21792627959834543","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.062000000000000506","1"
"38","85","100","1.8473061984566543","-8.578912031512646","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.94623859999999","3","-0.3900000000000004","8"
"39","95","243","-4.4714008034456425","2.9783961825882592","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.412969999999996","2","-0.07600000000000091","6"
"40","15","220","2.8591777178584747","9.624128969580825","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9584575000000001","3","0.042999999999999414","1"
"41","0","14","-8.063685449316983","-14.94469728246769","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.210619999999995","2","0.05799999999999958","0"
"42","35","60","3.205678593179752","3.134023058896144","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.236989999999974","2","0.03299999999999965","5"
"43","35","320","-5.539694510166618","-12.333108748110469","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.986807300000047","3","-0.38800000000000023","7"
"44","125","190","-5.0552028616436235","2.428615197418141","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.767900000000003","2","-0.25500000000000056","6"
"45","15","129","-2.0619351205440886","3.960295079119813","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9507189999999974","3","-0.24800000000000022","4"
"46","15","300","-7.6025816355883595","-7.564819024645908","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9969599999999996","2","-0.019000000000000166","6"
