"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","105","274","9.368815269114094","-7.161240869204718","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.131840700000022","3","-1.072999999999996","6"
"1","25","185","4.809826441778456","0.9223173887742621","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9975478999999918","3","-1.0040000000000004","4"
"2","135","35","-11.477974105363971","5.118858224539917","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.27166","2","-1.0859999999999959","0"
"3","9.9","225","5.35108618368748","4.608067520056056","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.727699999999997","2","-1.1999999999999893","0"
"4","9.9","200","6.8194260517728065","13.483828695129478","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.515920000000001","2","-1.16899999999999","9"
"5","15","83","-7.177266568717673","-9.450169066050428","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9530619999999937","3","-1.275999999999986","3"
"6","125","130","-1.6043215985125392","13.246081097721133","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.014930000000009","2","-1.1369999999999933","6"
"7","35","165","16.318179988962875","8.07707279763325","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.107629099999953","3","-1.2679999999999854","7"
"8","125","320","1.8628423750578675","8.103131712022492","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.0293324","3","-1.1689999999999916","3"
"9","15","353","-0.30258241433570143","10.096381096117955","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.8983530000000005","3","-1.1379999999999932","6"
"10","25","251","13.770993967955523","-4.007199689636151","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9371141000000018","3","-1.2789999999999868","3"
"11","55","359","2.8089918582012348","7.613966291380063","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.1220400000000055","2","-0.8840000000000007","2"
"12","5","1","7.276263863987328","0.784511560830797","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.809720000000006","2","-1.0759999999999972","6"
"13","0","340","-3.178967422017948","-5.804571546480497","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.566239999999999","2","-1.1929999999999912","8"
"14","5","122","-11.713523186125316","5.964650601640294","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.620280000000001","2","-1.0419999999999985","6"
"15","25","117","-8.909071639853352","12.199483360258224","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.0182435999999964","3","-1.2799999999999816","2"
"16","9.9","182","6.963589328341111","8.33642625642182","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.459389999999996","2","-1.2879999999999858","5"
"17","9.9","205","3.4081956659923","8.86252659344367","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.803100000000002","2","-1.0649999999999973","0"
"18","85","318","6.572147980716569","6.05760941059666","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.000802100000002","3","-1.0989999999999955","3"
"19","135","208","4.554125428340454","13.780750814857711","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.5434","2","-1.0879999999999956","4"
"20","5","115","-15.494365482816276","7.442338722867209","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.43911","2","-0.9600000000000007","0"
"21","15","20","13.089765121851165","0.09420748768163367","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9513302999999957","3","-0.9670000000000007","4"
"22","55","53","2.652812140022523","4.010538694748464","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.9868797999999965","3","-1.016","0"
"23","9.9","277","13.745202013414374","-3.2048514623314404","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.24092","2","-1.1209999999999951","9"
"24","85","336","1.5089545041319279","-5.5459045515366","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.02164040000001","3","-1.2179999999999875","8"
"25","5","257","1.5971427404110874","6.000738841814848","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.36796","2","-1.1809999999999934","1"
"26","35","59","-16.040026478768223","-4.2340872834953025","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.131956299999995","3","-1.0469999999999975","1"
"27","15","178","-0.2059115974905834","9.78275492374426","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.7911400000000011","2","-1.1019999999999939","8"
"28","135","331","-3.504376079424544","9.397672009321626","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.5","2","-1.1949999999999894","2"
"29","55","21","11.002671750762183","-11.129403702083597","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.052280000000005","2","-0.9500000000000007","0"
"30","135","204","-9.570850356583323","7.801571082855001","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.069540000000002","2","-1.1629999999999925","4"
"31","85","228","4.000298409980909","0.04292889246895837","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.037027199999985","3","-1.0010000000000003","1"
"32","85","263","-14.028166512265832","4.440188970138862","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.993946900000003","3","-1.1789999999999927","0"
"33","105","322","13.227055298890267","0.9737789549228886","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.044296800000006","3","-1.1219999999999937","3"
"34","9.9","193","9.645317098668453","-0.4161697158499551","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.415289999999999","2","-1.1039999999999932","3"
"35","35","332","-8.447768436719128","15.828993136212734","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.391699999999995","2","-1.2929999999999846","7"
"36","15","277","13.072701856338846","-14.132035662448832","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9828185999999997","3","-1.0299999999999996","7"
"37","9.9","280","7.6526056963237545","-3.6102949451129396","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.709850000000001","2","-1.016","9"
