"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","25","191","8.647742517572517","13.03991599746309","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.7785699999999989","2","0.07499999999999953","3"
"1","135","184","8.003975355336404","0.8278514034413257","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.97185040000008","3","0.01199999999999989","6"
"2","15","166","15.822114404772247","-3.2526374317048794","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5142700000000003","2","0.0719999999999991","7"
"3","95","118","-4.713684267299264","-5.458054690680146","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.978760000000005","2","0.004999999999999889","0"
"4","15","347","13.921268245713847","1.3019560458954902","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.49599","2","-0.011000000000000312","3"
"5","85","274","-16.176285156663738","0.49739365717328","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.922595299999976","3","0.20900000000000005","5"
"6","115","144","7.962438812927363","-16.064138772641602","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.329660000000008","2","-0.09600000000000031","8"
"7","25","123","10.939032828160682","14.253245321375015","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.5685599999999997","2","0.27399999999999997","0"
"8","125","21","-6.097879956461652","12.469347760350967","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.231899999999978","2","0.4350000000000003","5"
"9","85","0","14.659948931646754","-13.513806756428911","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.07841","2","0.17600000000000007","5"
"10","25","69","-4.458190638948601","13.068644827385164","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.5181199999999995","2","0.04799999999999955","8"
"11","45","207","7.423208747265904","9.1004078159332","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.7984299999999998","2","0.21399999999999994","1"
"12","115","60","-14.15993190646838","-11.591703048095564","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.294380000000007","2","0.3290000000000001","0"
"13","55","30","0.3843363773550002","-0.4151123600972425","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.807379999999999","2","0.11999999999999988","1"
"14","15","292","2.9785600075384346","-3.266260555303718","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9795993999999943","3","0.052999999999999124","6"
"15","0","346","-14.223662851207948","-0.6161359993089399","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.987582399999996","3","0.09899999999999948","5"
