"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","85","1","-7.36658604886446","1.733938084946029","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.917354599999968","3","-0.5100000000000006","1"
"1","15","36","11.178993699783593","-0.00729977759131728","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.75","2","-0.5910000000000004","7"
"2","55","309","-6.883621318979931","7.147599604526807","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.9031492000000054","3","-0.7140000000000005","9"
"3","0","110","9.32660314143032","-1.685327282606871","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.990046300000023","3","-0.5680000000000005","8"
"4","15","273","13.326660562558668","-14.00053150576175","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9102800000000004","2","-0.6110000000000008","5"
"5","135","320","3.910519591776768","16.283772681919285","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.815339999999999","2","-0.5970000000000004","3"
"6","15","82","6.164798977475915","4.761324546478258","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.94827","2","-0.6520000000000006","9"
"7","15","112","13.062909556881745","-11.393485624597332","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.899944000000002","3","-0.5810000000000005","1"
"8","35","344","2.7231078799305006","-2.447657708148311","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.289029999999988","2","-0.7190000000000006","2"
"9","45","17","-4.078795502919548","16.347096357997305","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.01091","2","-0.7290000000000005","8"
"10","135","118","9.87908935498974","8.123371814554318","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.75","2","-0.36400000000000027","9"
"11","15","341","3.569419418431155","-9.46930242059463","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.32700000000000046","3"
"12","45","153","5.636458478883106","-7.992033274454641","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.0989600000000013","2","-0.3270000000000003","0"
"13","35","23","-7.085398582234156","-3.46994360476591","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.00172809999999","3","-0.6500000000000006","7"
"14","105","48","-4.982389162585298","10.031680087219256","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.760009999999997","1","-0.4900000000000005","2"
"15","85","236","-9.713378090081504","6.597432995378466","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.981659999999986","3","-0.5740000000000005","5"
"16","15","51","-1.7086989408098832","-3.7675624150598135","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9897604999999989","3","-0.5650000000000005","5"
"17","45","242","4.851867141962428","-13.71355514192429","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.1255000000000006","2","-0.4390000000000004","2"
"18","55","116","5.842929853195296","-12.805480422926333","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.9217200000000094","2","-0.2810000000000004","5"
"19","5","81","7.858490886496671","6.413019002155708","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.010179999999993","2","-0.6140000000000005","9"
