"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","95","199","-9.02837790851299","14.91960153621197","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.956189999999996","2","0.15899999999999997","5"
"1","45","339","-0.15514006384649903","3.0001169624510045","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.4799700000000002","2","-0.1040000000000005","3"
"2","45","286","2.3569203539554255","2.352347670818747","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.7361899999999997","2","-0.1010000000000004","7"
"3","45","115","-10.569858820302004","5.934997730716612","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.1242500000000004","2","0.33800000000000013","2"
"4","55","220","-16.289461280588093","-13.54599961521662","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.48743","2","-0.15000000000000036","4"
"5","45","192","10.077863701997773","-13.927605778097213","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.6915099999999863","2","-0.025000000000000216","4"
"6","25","144","6.205850091846813","5.302696367884658","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.7282299999999995","2","-0.14300000000000038","9"
"7","35","221","10.627892901547742","11.04326843291894","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.990929400000004","3","-0.14300000000000002","7"
"8","25","142","-11.743529469902775","-7.69973119239496","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9859500000000003","2","-0.1680000000000005","8"
"9","25","337","-4.947127177871454","10.410734340060145","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.7307300000000014","2","-0.08800000000000033","9"
"10","55","101","8.333500527476385","-3.8708225849596984","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.2571299999999965","2","-0.0040000000000003635","8"
"11","25","232","12.260657902924926","8.272308965678171","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9708400000000004","2","-0.20000000000000012","9"
"12","55","31","15.845678866072024","-3.223438814578753","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.9809100000000006","2","-0.22700000000000042","8"
"13","15","347","14.254596960934167","0.8059843277607872","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9933399999999998","2","-0.04900000000000045","6"
"14","95","325","-9.385017800996335","-10.954522445094044","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.50801","2","-0.1050000000000006","5"
"15","55","196","-10.518798565232181","-12.913451944112289","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.8867524000000184","3","0.11999999999999986","1"
"16","85","52","10.977330655659625","-15.340824185523587","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.01707090000003","3","0.15099999999999975","0"
"17","15","33","5.304539872590239","-8.860770795151652","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.50083","2","0.08299999999999919","6"
"18","25","96","-11.808111048410694","13.546367733783462","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.4865600000000003","2","-0.0820000000000007","5"
"19","55","354","-13.048122918124882","-2.112497643386174","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.9594663000000083","3","0.07699999999999968","1"
"20","25","21","-9.879869575937992","-6.302514742153934","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.489700000000002","2","-0.046000000000000776","7"
"21","15","238","-13.644710315329041","12.978021157880521","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.0186600000000006","2","0.10399999999999913","4"
"22","15","110","-12.751141906460216","-6.030510286604832","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.038000000000000575","7"
"23","15","165","5.614149665372063","-10.818906328780328","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.044000000000000455","3"
"24","15","206","4.261696618430167","9.40700927157517","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5077099999999999","1","0.10400000000000009","0"
"25","15","273","4.062531112679881","-12.655544819536864","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","0.15899999999999992","6"
"26","35","97","0.7202844106395506","-4.530192887132896","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.943551000000056","3","-0.13200000000000064","3"
"27","35","332","10.91621818251561","4.3684304525847715","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.960021700000006","3","0.01699999999999936","7"
"28","0","276","0.22816315729310077","-5.703463674662755","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.939521500000035","3","0.036999999999999346","2"
"29","45","323","6.305708637907278","-15.720493090871699","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.5826149999999997","1","-0.12800000000000045","1"
"30","45","357","2.1687822160613357","-3.666536245970491","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.7773800000000084","2","0.02499999999999961","6"
"31","85","176","-15.830211902459643","-8.976929610676303","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.938589199999979","3","-0.23300000000000018","4"
"32","15","48","-3.9590073657475733","2.1844904503273987","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.7445000000000004","2","-0.041000000000000404","5"
"33","45","77","2.7181251614834223","-2.0262203169924047","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.968919999999999","2","-0.10400000000000051","7"
"34","85","284","0.7543477053320302","-2.117046301513505","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.9789229","3","-0.016000000000000843","9"
"35","15","215","13.637429132304703","-0.13885801576404821","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9997","2","-0.025000000000000744","0"
"36","45","113","11.72152312679065","12.962952148385966","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.4536799999999985","2","-0.24900000000000044","8"
"37","85","279","6.409587195496238","9.191459213736664","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.9695065000000005","3","-3.703634621210483E-16","1"
"38","9.9","15","-3.4347804316659953","9.91534652178336","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.929354799999999","3","0.3000000000000001","3"
"39","55","356","13.922943802368465","14.647428723361063","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.50279","2","-0.07600000000000068","5"
"40","25","207","10.317015959827998","-4.439112362858284","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.312770000000003","2","0.06599999999999963","8"
"41","115","148","-1.5194148590968442","9.02192222137222","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.5413599999999965","2","0.17700000000000002","3"
"42","45","108","6.6126424128188654","6.1446250998662215","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.76294","2","0.2589999999999995","0"
"43","85","31","-9.918052185709795","-0.34141509796844616","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.019989999999998","2","-0.11500000000000075","6"
"44","85","203","-4.081539253276494","-14.103705214523773","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.656980000000002","2","0.027999999999999532","5"
"45","85","209","11.676110655170785","-10.81121454254556","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.58681","2","-0.1080000000000001","8"
"46","85","299","5.386517887694733","-10.95285785194041","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.992939999999998","2","-0.2110000000000002","8"
"47","45","214","3.7708738661309584","13.791965087467897","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.486999999999999","2","-0.048000000000000584","6"
"48","15","47","3.2724973587679758","11.529939759852487","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.2660000000000004","1"
"49","15","62","14.197108736753698","8.488262308634866","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.03100000000000044","2"
"50","85","347","-5.580566154067826","-10.86834058280024","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.962535799999981","3","0.06299999999999976","6"
"51","35","43","5.922989636381765","4.118985390171857","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.90632830000001","3","0.03299999999999938","1"
"52","115","200","5.714234898246149","0.22781804681106388","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.092080000000017","2","-0.07800000000000054","7"
"53","15","25","11.864408400854497","12.736001321364828","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.50002","2","0.0020000000000000113","3"
"54","15","149","-11.46249447311894","12.350173726868192","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.74571","2","-0.20700000000000035","9"
"55","45","145","12.645420186013366","-4.868187774561056","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.5012600000000025","2","0.01399999999999961","8"
"56","25","7","5.186027492517809","8.276735750592948","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.96976","2","-0.16800000000000054","4"
"57","15","25","0.8177059836621993","-3.271706627677239","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.842634999999999","1","-0.05600000000000072","7"
"58","105","162","14.464881846101962","-8.827395689773907","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.89687389999997","3","-0.13600000000000043","9"
"59","5","359","-4.898796330822829","5.467800126082978","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.678340000000006","2","-0.0220000000000002","2"
"60","25","201","-8.268483324318835","8.261011399129824","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.2383100000000007","2","-0.043000000000000135","3"
"61","25","167","-13.90499139691844","-3.471103691116036","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.8568608000000157","3","-0.06800000000000057","0"
