"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","0","167","2.416116739670971","-9.940070819768096","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.455089999999993","2","-0.5660000000000004","0"
"1","115","54","-12.82234430204873","3.1782254480912577","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.961162799999957","3","-0.4120000000000004","5"
"2","35","144","6.941025432318724","-9.50174969378358","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.018286000000021","3","-0.6570000000000006","2"
"3","95","230","5.652118223590858","12.390611221484452","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.972280000000001","2","-0.5910000000000005","7"
"4","105","193","-2.9752630161899076","-13.010921794706176","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.7172199999999895","2","-0.4890000000000004","7"
"5","125","313","13.019736742856153","12.962795737190879","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.175169999999992","2","-0.4210000000000006","7"
"6","5","142","-9.902669690808303","-11.63028419931015","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.875850000000007","2","-0.4640000000000004","1"
"7","55","17","15.502662059701963","0.06495395107772217","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.103550000000006","2","-0.5760000000000004","3"
"8","5","178","9.061894646674986","12.494338545284446","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.076769999999998","2","-0.5640000000000005","6"
"9","9.9","122","13.441308252049247","12.987178261918956","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.334930000000002","2","-0.7760000000000007","4"
"10","0","249","-7.240827094423325","-14.547886760445728","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.787889999999992","2","-0.5990000000000004","6"
"11","85","152","16.38416274657153","10.519858934214966","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.0325305","3","-0.8110000000000007","1"
"12","85","184","-12.746021212650072","-11.743385413772991","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.677280000000006","2","-0.7320000000000007","7"
"13","25","38","-7.420723164462304","13.979566572743945","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9204399999999997","2","-0.6410000000000005","2"
"14","125","95","-10.558150421289128","-8.73382199141938","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.66023999999999","2","-0.7370000000000005","6"
"15","5","273","-13.946982594477088","-16.190216560319072","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.020207700000034","3","-0.5140000000000003","7"
"16","35","254","-9.459565850050744","-2.2829060362300497","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.300000000000017","2","-0.5550000000000005","3"
"17","135","121","7.030736923595015","-13.283094347203246","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.5","2","-0.5850000000000004","3"
"18","85","326","16.25084814271986","-2.431087686072084","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.875329199999964","3","-0.6480000000000005","5"
"19","5","164","-4.479828391740765","-0.09370280442005918","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.629530000000013","2","-0.5680000000000005","5"
"20","135","231","-5.937520975783736","-13.829895151112158","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.28556","2","-0.5110000000000005","2"
"21","5","181","-9.95697285383707","-11.329802740622627","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.664660000000005","2","-0.3830000000000005","3"
"22","0","184","9.464410788355845","-15.816453163921706","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.93779","2","-0.6900000000000005","6"
"23","85","86","-10.14671023587863","5.880550149617405","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.015651500000013","3","-0.7670000000000007","9"
"24","85","274","-8.47521215306516","-13.274051376900431","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.964236399999997","3","-0.5730000000000005","5"
"25","35","10","14.856423654890023","-15.469088639155963","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.399550000000001","2","-0.7350000000000007","7"
"26","105","49","10.151076894430172","0.9891682012375398","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.058595800000021","3","-0.4900000000000004","3"
"27","35","251","-13.897270214493307","15.4802136440386","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.141550000000018","2","-0.4350000000000005","5"
"28","85","290","-8.313414355555498","0.009627787860192916","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.928327900000005","3","-0.6970000000000006","2"
"29","115","274","-9.298688945144388","9.334654790545713","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.155890000000005","2","-0.5850000000000006","1"
"30","135","2","10.945043017938097","8.424754402469862","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.01131","2","-0.5630000000000005","0"
"31","85","51","15.172309325587236","-1.6718900840530102","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.981944200000031","3","-0.6260000000000006","5"
"32","135","129","-14.58540396390713","1.1635922088444302","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.882950000000001","2","-0.8890000000000007","9"
