"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","95","80","-1.266617491035835","1.7917167447707896","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.058819999999999","2","-1.236999999999988","3"
"1","85","260","2.118939519964921","1.3625802379282108","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.22610000000001","2","-1.3139999999999852","6"
"2","25","187","-8.143759945923081","13.044494296995925","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9135626000000023","3","-1.5359999999999756","0"
"3","95","359","-8.472407863987144","-6.865958944451888","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.683479999999993","2","-1.498999999999978","6"
"4","105","259","-7.471258775507837","-13.867051962783716","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.582910000000008","2","-1.3729999999999816","0"
"5","25","258","4.564232549506338","-7.022498183093167","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.10405","2","-1.1479999999999917","2"
"6","15","166","12.589394518210252","11.699880372944392","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.7465000000000102","2","-1.3569999999999809","8"
"7","125","263","-8.273584825759293","11.032318230362897","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.323089999999999","2","-1.1969999999999914","3"
"8","135","178","10.96812693287563","-3.41755987289709","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.5","2","-1.3279999999999854","1"
"9","85","287","6.858520894210093","-14.322317290914672","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.028303799999994","3","-1.505999999999977","8"
"10","55","337","12.7841579215333","2.626689193090912","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.2737500000000095","2","-1.3509999999999847","3"
"11","0","67","13.423713981055709","6.726797271517075","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.844579999999999","2","-1.1829999999999894","0"
"12","25","164","5.266591838761358","3.0675148253247393","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.2521600000000204","2","-1.4619999999999789","3"
"13","25","129","-6.179333112510096","-16.23589861936442","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.5159000000000082","1","-1.3189999999999835","2"
"14","35","97","-1.9288980803137186","0.8343417601027602","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.843759999999998","2","-1.3179999999999834","7"
"15","5","298","-1.1076167516314053","-1.446211132572539","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.092399999999968","2","-1.4419999999999795","7"
"16","35","288","-13.859468147651071","7.115020216918518","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.430010000000008","2","-1.290999999999984","3"
"17","135","190","9.067473738167768","-11.901358689995718","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.5","1","-1.4179999999999784","9"
"18","95","246","1.1205396815293724","16.218314528438416","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.931820000000004","2","-1.2729999999999881","2"
"19","105","285","-0.03721534133551585","0.820731677965783","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.57077999999997","2","-1.5149999999999761","4"
"20","85","51","0.2934366107564754","-8.550991782259064","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.952502299999984","3","-1.455999999999978","3"
"21","25","3","-4.160156712310282","-13.173829679943307","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9346214999999998","3","-1.7059999999999675","9"
"22","15","34","11.291014046619162","-0.23486109014571022","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","2","-1.23199999999999","6"
"23","35","209","-0.19922269687957445","8.196991744987189","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.005936600000037","3","-1.3809999999999822","6"
"24","85","324","-5.671213898699013","-10.119626822133219","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.955520899999963","3","-1.0899999999999959","1"
"25","25","196","14.270902269356533","-2.882994248011252","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.856380900000005","3","-1.182999999999991","5"
"26","105","223","-1.4476509732973017","13.413920373197652","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.053107700000002","3","-1.2739999999999878","4"
"27","115","94","-0.8332893205155615","-6.311777179109811","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.73528","2","-1.2969999999999857","7"
"28","5","92","-13.063730013499125","-13.718543437264469","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.097579999999994","2","-1.1499999999999921","6"
