"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","45","177","5.852158818472155","-7.481717580109486","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.721520000000001","2","-0.7170000000000006","3"
"1","25","185","10.345342942208553","13.276700566940066","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.6851700000000003","2","-0.5500000000000004","6"
"2","15","220","11.777916663157853","-8.437623070875848","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","2","-0.6240000000000006","2"
"3","25","287","11.321940527458564","-11.276273086700598","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.6779","2","-0.6080000000000005","1"
"4","45","286","0.4020848034814638","1.0261672663501813","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.834164800000015","3","-0.7830000000000007","5"
"5","85","116","7.3666451257919","0.7944716031523732","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.398660000000002","1","-0.5720000000000004","0"
"6","15","305","-4.643629198326354","15.635451628078549","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.1493500000000008","2","-0.7490000000000007","0"
"7","55","134","-9.814787543372827","9.787324499141159","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.09845","2","-0.7640000000000006","7"
"8","15","140","0.8408577324296069","0.03275809281302622","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.8530000000000006","9"
"9","85","307","14.318509172034132","15.033441528874466","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.8419778999999314","3","-0.49100000000000044","0"
"10","55","39","3.3058869134834943","-13.391657263371771","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.274955000000001","1","-0.5330000000000005","3"
"11","15","48","-8.165981189401311","13.870834856587487","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.6930299999999998","2","-0.34700000000000025","0"
"12","25","62","-14.847878476662267","14.178516393942122","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.651629999999999","2","-0.6320000000000006","5"
"13","85","323","-15.274571780891687","-16.14822703565997","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.898899399999946","3","-0.6570000000000005","7"
"14","25","270","-2.321968411274409","-12.549336758391629","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.7393","2","-0.5420000000000003","3"
"15","35","240","-10.385390993795552","-8.971002235478842","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.938524100000036","3","-0.5730000000000004","5"
"16","15","267","-13.67489203942383","3.1441846519174685","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.2251800000000002","2","-0.6190000000000005","7"
"17","15","241","-0.4620394465950848","11.023233765678295","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.22543","2","-0.6210000000000006","9"
"18","15","194","-12.069643643127106","14.019103852687287","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.23237","2","-0.8830000000000007","8"
"19","85","257","-4.367491985996409","11.138283415721238","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.851308199999945","3","-0.6130000000000005","3"
"20","25","98","-13.101221094223423","-10.974644836673711","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.2348900000000014","2","-0.5280000000000005","6"
"21","15","253","7.862140833950613","-1.0928198061804353","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.7090000000000006","6"
"22","15","45","9.9868370728312","4.1105772868981205","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.7370000000000007","6"
"23","15","130","-12.853640667913453","-4.507303047905148","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.22248","2","-0.6910000000000006","1"
"24","85","111","-11.434153584254824","-13.578515246523727","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.8469800999999375","3","-0.7670000000000007","1"
"25","15","273","-10.724280348700947","-7.670222583719145","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.7090000000000006","7"
"26","125","177","7.793563173216456","8.12633758091264","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.934282600000031","3","-0.7880000000000006","9"
"27","85","14","-9.554653493711678","0.7560953600650722","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.821553899999933","3","-0.7020000000000005","3"
"28","15","97","4.547924359673489","12.279690375361914","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.75","2","-0.8000000000000006","5"
"29","5","129","7.784644981122421","-5.374355417865323","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.830616400000162","3","-0.6300000000000006","7"
"30","15","131","-6.661694625379258","-5.895677083354074","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.8278669999999989","3","-0.7070000000000006","7"
"31","15","75","1.3329746510520604","5.8079875432390615","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.6370000000000006","6"
