"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","85","127","1.4663284161669021","6.3467501551141545","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.906965199999967","3","-1.047999999999997","9"
"1","85","147","-14.115920919962754","-10.8996637857443","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.024899500000004","3","-1.1509999999999925","0"
"2","5","289","7.578731638805981","13.382207292499956","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.11825409999994","3","-1.011","7"
"3","25","180","3.452617001863164","4.273115920726045","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.5472900000000012","2","-1.1219999999999946","0"
"4","85","147","-7.440047976223661","-12.268101911398931","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.012182600000001","3","-1.0030000000000006","2"
"5","85","348","-15.644355861530261","-10.87411174541371","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.856549999999957","3","-1.139999999999992","0"
"6","15","296","-16.38023123229032","-8.26731426152308","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9329700000000004","2","-1.119999999999994","7"
"7","35","240","15.600113468249663","-9.215498172240371","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.982303600000064","3","-0.8720000000000007","1"
"8","15","60","2.3380350687949645","-10.343662226617072","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.66535","2","-1.058999999999998","1"
"9","15","344","-11.762193125394019","1.691339850030361","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.7053900000000007","2","-1.4899999999999767","8"
"10","85","115","-14.902638836628146","3.9229986824229033","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.002652699999997","3","-0.9210000000000007","2"
"11","85","95","5.566849538734981","-4.805022995651411","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.977459199999996","3","-0.9080000000000007","0"
"12","85","227","-0.7158589683997176","-9.565534959178912","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.87316539999994","3","-0.9390000000000008","4"
"13","9.9","53","-13.079888836340865","9.729920318827288","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.460389999999997","2","-1.0919999999999952","0"
"14","115","287","6.654928639873976","-14.336969834059609","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.983989800000007","3","-0.8990000000000008","5"
"15","25","295","-12.319237301074054","-14.486671019962355","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9071449000000051","3","-1.1889999999999898","6"
"16","85","266","12.725000655084983","0.9849856876765103","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.485989999999999","2","-1.0169999999999997","7"
"17","45","38","-5.966542497026945","-15.693749182624904","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.0495500000000026","2","-1.169999999999991","3"
"18","25","24","-2.707476973215174","0.4378693121868742","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9362072000000057","3","-0.9440000000000008","3"
"19","15","331","-7.155425358591409","15.080197302303795","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-1.1109999999999955","4"
"20","85","284","-2.608061466159439","-11.153144592796806","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.908793999999958","3","-1.334999999999983","5"
"21","15","33","-9.249781922839002","-9.450365431404236","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.2125199999999998","2","-0.9270000000000007","2"
"22","5","138","-4.54480290217596","6.830463149634925","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.232719999999986","2","-1.0339999999999991","5"
"23","9.9","91","-7.151312578266793","-3.9166838758492615","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.0416275000001","3","-1.3499999999999828","6"
"24","85","288","-7.174480381613366","-8.206840008729698","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.997160799999992","3","-1.1729999999999932","7"
"25","15","208","8.787458535906719","-7.610238021516652","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.2145300000000003","2","-1.1869999999999918","8"
"26","15","278","-5.5719044683671335","15.56852987490775","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.0889300000000008","2","-1.1419999999999941","1"
"27","15","203","2.213179997193599","3.076743303355845","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.7282100000000001","2","-1.0909999999999942","8"
"28","85","207","0.106043420980662","-8.292133412229825","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.633389999999997","2","-0.8750000000000007","1"
"29","45","169","-7.168048914753957","-4.108661026443388","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.4359500000000023","2","-1.195999999999989","1"
"30","15","134","-11.069266314923658","-14.733257266362859","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.9340000000000008","1"
"31","85","281","-11.345491345062767","-3.2843335221931396","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.8841199999999985","1","-1.2819999999999858","7"
"32","85","121","-16.44831455504552","3.928018512660276","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.029109500000008","3","-1.0999999999999945","6"
"33","5","214","-0.9078260885322724","-12.958072757856451","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.39486999999999","2","-1.1609999999999923","6"
"34","35","321","-2.1359192348323193","16.104877889249405","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.974592100000061","3","-1.0659999999999965","8"
"35","85","336","12.711842030123488","-8.979516400927087","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.974488799999986","3","-0.9720000000000008","0"
"36","25","202","-3.4913638652244363","-9.789267266042637","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.8768500000000008","2","-1.1279999999999946","0"
"37","95","175","6.21023608585986","14.870376781487993","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.536409999999989","2","-0.9630000000000007","7"
"38","0","6","5.743051626760039","5.222236645683833","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.33083999999999","2","-1.1039999999999948","0"
