"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","15","109","-8.754752569551755","6.995093592345635","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.8706479999999996","3","-1.162999999999993","9"
"1","85","319","12.720530688974865","3.078208036582844","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.986726199999991","3","-0.8400000000000006","8"
"2","25","252","7.39200698905385","-9.258588912380407","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.41962","2","-0.8140000000000006","4"
"3","45","265","4.932856042696436","9.88732511682826","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.985319999999998","2","-0.8170000000000006","4"
"4","105","246","16.085191517871134","13.424337527797876","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.946049999999998","2","-1.0110000000000001","6"
"5","95","179","-8.539300210126383","-0.15731639874907155","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.730870000000001","2","-0.9510000000000007","0"
"6","5","322","-15.693378660812254","0.29612230253967675","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.957460000000006","2","-0.8700000000000008","2"
"7","105","107","-12.495095174697223","-5.800957029647335","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.9674541999999695","3","-1.075999999999995","6"
"8","105","312","-13.039150698426612","16.27924095331755","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.022730100000007","3","-0.7900000000000007","7"
"9","85","181","-6.486852035927584","-5.677972851443263","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.972234199999996","3","-0.8140000000000006","7"
"10","25","216","7.937031504827328","15.319577352868768","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.881365300000009","3","-0.9610000000000007","3"
"11","85","311","-4.065350941381167","-13.762591670742562","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.9471032999999816","3","-1.103999999999996","9"
"12","45","11","-3.940648262606081","13.99368925374151","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.05771","2","-0.9220000000000008","4"
"13","115","112","12.961993138285333","-0.49767259807839004","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.103250000000006","2","-0.8570000000000007","6"
"14","5","118","7.234044670628066","-6.200574670468556","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.738429999999997","2","-0.7590000000000007","5"
"15","55","62","-1.8442648255191816","-8.629712250169488","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.132370000000003","2","-1.065999999999998","2"
"16","85","277","5.669953599916686","2.7319327184396864","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.974822399999991","3","-0.8610000000000007","3"
"17","35","214","5.5794596051813","16.285926220064407","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.066235199999964","3","-0.8320000000000007","0"
"18","0","271","-8.91553225708497","-6.9867110265677255","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.058860100000006","3","-1.0529999999999982","1"
"19","35","68","-15.106757371956306","-5.300488168044071","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.042094799999987","3","-0.9310000000000007","1"
"20","85","267","-11.822578539844299","2.803397056023715","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.956442099999981","3","-0.7990000000000008","4"
"21","15","181","-8.720702289320409","-10.020535181704448","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.25243","2","-0.8950000000000007","3"
"22","5","264","11.925667949949595","-13.503467028782488","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.085841300000023","3","-0.7820000000000008","6"
"23","85","316","10.427054938141033","7.037190435497208","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.979002499999987","3","-0.9300000000000008","9"
"24","35","245","-13.417821530815015","-3.961092796042487","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.073623499999977","3","-0.9380000000000008","2"
"25","85","54","3.788221058794203","-6.521124912966826","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.936921399999981","3","-1.0689999999999977","8"
"26","95","282","11.192996962397055","-11.259768987360795","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.378140000000002","2","-0.7500000000000006","8"
"27","9.9","236","8.821068051264186","1.436091244408189","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.58063000000001","2","-1.0439999999999983","3"
"28","125","303","3.432081220574414","-16.47021561948995","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.752830000000007","2","-0.8580000000000009","1"
"29","115","242","-14.57935803250072","3.8638653940949736","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.150560000000011","2","-0.8770000000000007","1"
"30","55","109","-15.028088950574954","-14.444893724772925","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.676320000000007","1","-1.2669999999999877","9"
"31","0","54","-0.5629101661495501","8.973268595157212","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.298749999999997","2","-1.0499999999999963","6"
"32","9.9","36","-1.8833203287102798","9.39269938985851","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.999959999999984","2","-0.6530000000000006","0"
"33","135","282","10.665334356156228","3.477609634102314","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.248749999999996","2","-0.7760000000000007","2"
"34","85","222","-15.03863625351529","-11.982309494885133","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.933963599999973","3","-1.013","6"
"35","15","3","-10.991886458783007","10.036014463704314","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.18977","2","-0.8690000000000007","2"
"36","85","286","-0.7119149605040171","1.6285138555111045","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.961488999999993","3","-0.8580000000000008","3"
"37","85","77","0.014246690127337258","8.31747419983213","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.937463199999989","3","-0.8130000000000007","3"
"38","25","149","10.769454715453973","-0.7152781758195548","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9082659000000013","3","-0.9300000000000007","7"
"39","15","276","-7.283855378362382","-11.262377408107925","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.13308","2","-0.8170000000000007","6"
"40","125","90","11.677131605395275","-4.27565938194157","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.8522","2","-0.8490000000000008","6"
"41","15","292","10.20402390621932","9.617943489648802","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-0.9820000000000008","8"
"42","105","160","15.769582408085364","-0.5034177107198635","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.754220000000009","2","-0.7990000000000007","6"
"43","5","275","-5.883670328609077","-9.268616789940271","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.30945","2","-0.9290000000000007","7"
"44","135","118","15.713242143142132","-1.0341806652892218","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.523699999999998","2","-0.7900000000000006","0"
"45","55","134","0.288319379136726","8.415664321069471","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.038529999999999","2","-0.5510000000000004","3"
"46","25","330","14.258015079529276","-12.140899709466133","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9282766000000091","3","-0.6920000000000006","3"
"47","35","277","-4.3795666294285756","-15.881440012459882","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.045501799999938","3","-0.8980000000000007","1"
"48","9.9","325","6.923982496433775","11.605298972788695","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.910069999999997","2","-0.8550000000000008","6"
"49","15","20","1.2234059241244446","4.879566252708312","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.8618590000000012","3","-0.8340000000000007","2"
"50","135","274","12.757845436842954","-7.245603561447766","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.5","2","-0.6980000000000006","0"
"51","45","1","0.16906362752755977","5.434292637093169","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.8400300000000014","2","-0.8080000000000007","6"
"52","85","264","9.658869096458726","-14.026104166969656","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.994405699999986","3","-0.7950000000000006","0"
"53","15","117","7.665407520469811","13.001715665030549","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9185596999999991","3","-1.1649999999999912","9"
"54","85","129","6.97253068873649","-4.929442501042407","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.986509499999982","3","-1.085999999999995","7"
"55","55","160","-7.777683130208823","14.71061420431531","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.8757099999999975","2","-0.8790000000000007","0"
"56","35","287","-13.216441883029232","1.9693566189692593","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.434159999999993","2","-0.9410000000000008","0"
"57","85","30","-3.236179824531483","10.602056803090795","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.9266175999999895","3","-0.8120000000000007","3"
"58","85","74","10.490410616671236","4.76267727788323","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.978664199999991","3","-0.8600000000000007","6"
"59","9.9","112","7.2996262148265805","14.00314568302662","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.643579999999995","2","-0.8930000000000007","9"
"60","25","265","2.5478228058480745","1.4566448079260423","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9464271","3","-1.0399999999999974","0"
"61","35","24","-2.3242669612168316","15.968822706842559","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.441850000000004","2","-0.9530000000000007","2"
"62","125","141","14.667533035149251","-1.4885590560904485","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.26772","2","-0.7030000000000006","0"
"63","85","242","-8.057993295103742","-4.640774865797216","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.000841300000019","3","-1.0140000000000002","3"
"64","135","97","-14.25456602907477","6.361199483586465","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.15","1","-0.9670000000000009","9"
"65","115","38","-9.51000842832364","-10.497232106095659","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.005863499999988","3","-0.7090000000000007","7"
"66","15","206","-8.050868416305818","3.5877427844938095","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.7022499999999997","2","-0.9540000000000008","9"
"67","0","343","-8.446392433467903","14.519148215377676","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.864840000000003","2","-0.8220000000000006","6"
"68","5","209","-15.333454210893493","7.077590163193041","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.75875000000001","1","-0.8530000000000006","9"
