"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","vote","age-category","trust","credibility"
"0","95","340","-6.541601561077479","5.979823009855087","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.802530000000006","2","-1.0479999999999967","9"
"1","15","4","-1.57207355891946","3.331135583511958","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.9037917999999969","3","-1.0120000000000002","1"
"2","55","171","14.863040065450132","12.907414586265752","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.919686300000002","3","-0.9360000000000008","6"
"3","95","17","-15.633776164499212","-5.434448888087808","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.423240000000009","2","-1.1259999999999935","7"
"4","135","66","5.201792418663047","-15.829915748189475","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.26063","2","-1.0629999999999982","8"
"5","45","124","-7.947404065152018","14.936764053169512","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.848519999999999","2","-0.9750000000000009","4"
"6","135","248","11.85705886744211","13.226306039328449","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","14.5","2","-0.8810000000000008","5"
"7","9.9","317","-9.418676379602633","2.7682921296966105","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.058942299999979","3","-1.1349999999999945","9"
"8","25","260","-0.35663417875753955","-8.727490092238336","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.10456","2","-0.9140000000000008","2"
"9","105","349","9.311226628819474","14.150728085132434","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.073505000000013","3","-0.7210000000000005","1"
"10","135","328","-13.169267174387398","12.509721212009461","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.851770000000005","2","-1.017","2"
"11","35","350","11.879497589672805","-7.92312118078538","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.841680000000002","2","-0.9200000000000008","2"
"12","45","99","-10.045837565636184","-13.222647981250557","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.8100799999999886","2","-1.0589999999999968","6"
"13","25","121","4.29714610570479","10.654051933988946","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9424554000000038","3","-0.9590000000000007","9"
"14","25","286","-4.598664225143041","-14.19425575752738","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.6937099999999998","2","-0.9360000000000007","4"
"15","35","228","-11.959915184434793","-14.718989072916145","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.217190000000008","2","-0.8080000000000007","5"
"16","5","172","11.935658071191106","13.80340663468941","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.050014100000018","3","-0.7890000000000006","0"
"17","15","191","1.008057921635869","5.586665503149973","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.8441690000000011","3","-0.7550000000000007","0"
"18","5","224","10.19406597920359","14.56539696952991","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","12.021679999999973","2","-0.8090000000000007","3"
"19","15","167","-11.753938612198835","-0.11382658926423184","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.8957377000000006","3","-0.7690000000000007","1"
"20","15","197","-13.919434528394431","8.216367304440567","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-1.1919999999999897","5"
"21","85","182","10.221896139347685","14.299398665255186","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.597420000000002","2","-0.7050000000000005","4"
"22","25","185","10.880026818139456","14.617509841631842","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","2.1734999999999993","2","-0.7930000000000006","6"
"23","25","237","-11.342854601279619","0.356204621926699","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.7595800000000015","2","-1.1379999999999917","7"
"24","95","10","-13.994505882033994","-8.097414704948545","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.3259500000000095","2","-1.001","5"
"25","95","211","10.84182641011894","-14.661485052030192","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.626129999999989","2","-0.8600000000000008","1"
"26","9.9","318","15.700077566749886","-15.383210514372967","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","13.249839999999985","2","-1.1839999999999917","4"
"27","85","146","1.2994637084185918","-15.28109289401993","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.910984599999979","3","-0.8130000000000007","7"
"28","25","298","-15.83313392221256","-5.806364285062376","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.5171799999999989","2","-0.9860000000000009","5"
"29","85","103","12.273304842103165","16.225800616318523","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","5.021735700000016","3","-1.0429999999999986","4"
"30","115","79","12.363752245854341","-0.07681538922514611","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.008572500000001","3","-0.9820000000000009","7"
"31","55","194","-3.8032377648678657","9.454619141663144","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.5300799999999986","2","-0.7160000000000005","2"
"32","105","13","12.98270957225467","-0.6392980328102298","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","7.249809999999998","2","-1.0249999999999997","7"
"33","45","98","16.11794838739511","-0.014751224772598263","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","3.2148299999999996","2","-0.9670000000000007","0"
"34","25","43","13.92763951665424","0.0038567999792700203","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.9500608000000008","3","-1.0659999999999945","4"
"35","35","210","7.823515264224473","3.140893053148029","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","10.009403200000069","3","-1.2009999999999894","9"
"36","125","145","4.458233831816309","7.514849988787137","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","8.760010000000008","2","-0.7320000000000007","3"
"37","15","236","-9.548336485118124","-9.262202323233163","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.5","2","-1.1079999999999954","8"
"38","0","231","11.815420305430862","14.548417112152848","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.068419400000002","3","-1.258999999999986","9"
"39","15","145","-1.4538199407286827","2.2538097505441326","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","0.75","2","-1.0179999999999991","7"
"40","25","215","-15.83190853620966","5.45861270899367","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.934266600000007","3","-1.0289999999999992","2"
"41","55","62","-6.279019464689412","7.990735134781669","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.323869999999998","2","-1.0090000000000001","4"
"42","35","257","-8.845747630209841","-10.7625750103091","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.899580000000004","2","-1.127999999999994","1"
"43","35","227","-9.551261975828991","6.853069337173565","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","9.729330000000008","2","-0.7820000000000007","3"
"44","95","53","-14.497776777711001","4.136619267418192","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","6.439260000000006","2","-1.0519999999999976","7"
"45","25","48","-2.951217816306313","11.20759068543096","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1.6759","2","-1.057999999999996","6"
"46","0","232","10.029101211963322","3.1005506889011913","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","11.053726200000023","3","-1.0439999999999983","2"
"47","85","60","-6.157557839012089","8.771583586368015","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","4.98522000000001","2","-1.1719999999999922","6"
